# Solar Variability Over the Last 3000 Years
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/18475
#
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/solar_variability/usoskin2014solar.txt
#
# Archive: Climate Forcing
#---------------------------------------
# Contribution_Date
#    Date: 2015-04-26
#---------------------------------------
# Title
#    Study_Name: Solar Variability Over the Last 3000 Years
#---------------------------------------
# Investigators
#      Investigators: Usoskin, I.G; Hulot, G; Gallet, Y.; Roth, R.; Licht, A.; Joos, F.; Kovaltsov, G.A.; Thebault, E.; Khokhlov, A.
#---------------------------------------
# Description and Notes
#        Description: Solar variability, reconstructed from 14C data (Roth and Joos, 2013) using new archeomagnetic data (Licht et al., 2013).
#         Provided Keywords: Solar activiy, Holocene
#---------------------------------------
# Publication
# Authors: Usoskin, I.G; Hulot, G; Gallet, Y.; Roth, R.; Licht, A.; Joos, F.; Kovaltsov, G.A.; Thebault, E.; Khokhlov, A.
# Published_Date_or_Year: 2014-02-20
# Published_Title: Evidence for distinct modes of solar activity
# Journal_Name: Astronomy and Astrophysics
# Volume: 562
# Issue: L10
# Pages: 
# Report Number: 
# DOI: 10.1051/0004-6361/201423391
# Abstract: Aims. The Sun shows strong variability in its magnetic activity, from Grand minima to Grand maxima, but the nature of the variability is not fully understood, mostly because of the insufficient length of the directly observed solar activity records and of uncertainties related to long-term reconstructions. Here we present a new adjustment-free reconstruction of solar activity over three millennia and study its different modes. Methods. We present a new adjustment-free, physical reconstruction of solar activity over the past three millennia, using the latest verified carbon cycle, 14C production, and archeomagnetic field models. This great improvement allowed us to study different modes of solar activity at an unprecedented level of details. Results. The distribution of solar activity is clearly bi-modal, implying the existence of distinct modes of activity. The main regular activity mode corresponds to moderate activity that varies in a relatively narrow band between sunspot numbers 20 and 67. The existence of a separate Grand minimum mode with reduced solar activity, which cannot be explained by random fluctuations of the regular mode, is confirmed at a high confidence level. The possible existence of a separate Grand maximum mode is also suggested, but the statistics is too low to reach a confident conclusion. Conclusions. The Sun is shown to operate in distinct modes - a main general mode, a Grand minimum mode corresponding to an inactive Sun, and a possible Grand maximum mode corresponding to an unusually active Sun. These results provide important constraints for both dynamo models of Sun-like stars and investigations of possible solar influence on Earth's climate. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Academy of Finland
#    Grant: 272157
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Swiss National Science Foundation and the EU project Past4Future
#    Grant: 243908
#---------------------------------------
# Site Information
# Site_Name: Global
# Location: Geographic Region>Global
# Country: 
# Northernmost_Latitude: 90.0
# Southernmost_Latitude: -90.0
# Easternmost_Longitude: 180.0
# Westernmost_Longitude: -180.0
# Elevation: 
#---------------------------------------
# Data_Collection
#   Collection_Name: Usoskin2014solar
#   First_Year: -1145
#   Last_Year: 1945
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,AD,,,,,N
## SN	Sunspot number,,,number,,,,,N
## SN-95	Sunspot number lower 95% bound,,,number,,Climate Forcing,,,N
## SN+95	Sunspot number upper 95% bound,,,number,,Climate Forcing,,,N
## Phi	Modulation potential,,,MV,,Climate Forcing, see defintion in Usoskin et al. (JGR 110 A12108 2005),,N
## Phi-95	Modulation potential lower 95% bound,,,MV,,Climate Forcing,,,N
## Phi+95	Modulation potential upper 95% bound,,,MV,,Climate Forcing,,,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
age_AD	SN	SN-95	SN+95	Phi	Phi-95	Phi+95
-1145	68.3	50	87.2	653	484	833
-1135	66.8	47.6	90.7	695	530	893
-1125	44.5	30.4	61	494	381	638
-1115	45     29.9	60.8	485	360	617
-1105	51.6	35.4	67.4	529	391	674
-1095	59.2	41.5	79.8	589	450	755
-1085	58.1	40.8	76.4	576	437	734
-1075	63.7	46.1	85	622	471	811
-1065	67.1	48.7	87.8	640	497	826
-1055	61.6	42.8	79.4	642	475	789
-1045	55	38.5	74.3	541	401	701
-1035	61.1	44.8	79.2	610	464	766
-1025	60.5	43.7	78.8	611	471	776
-1015	54	37.6	72.6	584	430	755
-1005	46.8	32.6	65	513	388	676
-995	49.7	34.7	67.2	509	372	665
-985	52.4	37	69.3	561	429	713
-975	47.5	30.9	66.7	508	384	665
-965	47.5	33.5	64.6	480	367	614
-955	62.1	46.6	79.4	618	483	782
-945	58.5	41.3	77.6	606	452	778
-935	51.2	34.9	71.6	541	404	720
-925	46.7	31.4	65.1	516	373	685
-915	42	26	58.8	469	334	618
-905	36.4	22.6	52.1	445	322	593
-895	34.2	21	49	406	294	536
-885	38.4	23.2	55.3	432	298	574
-875	45.8	30.6	63.6	495	355	647
-865	51	32.1	68.9	527	367	681
-855	53	37.7	70.7	552	409	711
-845	47.4	31.7	67.2	535	399	720
-835	39.1	23.9	55.1	459	330	597
-825	38.1	23.8	54.4	448	322	588
-815	32.4	18.5	48.7	420	303	558
-805	21.2	9	34	346	242	467
-795	13.2	1.6	25.1	268	174	369
-785	12.9	1.2	24.9	261	171	360
-775	14.1	2.5	27	287	190	404
-765	11.1	0.7	21.9	262	171	359
-755	10.2	-1.7	22.6	253	154	355
-745	11.5	0.3	24.1	253	160	354
-735	14.3	3.2	25.8	276	189	371
-725	15.5	3.6	27.6	281	189	383
-715	18.8	7.1	31.3	307	207	416
-705	24.3	12.9	37.2	338	241	453
-695	39.4	27	53.8	389	287	518
-685	67.4	51	85.8	640	500	800
-675	58.7	41.8	77.7	661	516	851
-665	31.8	20.3	43.8	403	304	515
-655	40	30.1	50.2	410	316	508
-645	58.5	46.2	73.8	588	472	726
-635	59.6	44.6	75.3	602	474	752
-625	58.1	44	74.3	593	466	740
-615	60.6	46.7	75.2	585	457	708
-605	65.4	48.3	84.9	664	522	830
-595	55.4	42.9	70	583	473	726
-585	56.4	42.9	72.7	557	432	722
-575	63.7	48.2	81.1	623	483	784
-565	61.6	47.7	78.3	612	458	751
-555	57.7	42.5	75.8	607	466	777
-545	46.7	33.9	58.9	518	396	647
-535	44.2	31.7	57	470	358	598
-525	48.8	35.7	63.2	535	394	670
-515	42.6	31.3	56.8	471	359	600
-505	45.3	32.6	59.2	488	365	624
-495	49.2	36	65.4	530	416	694
-485	47.4	31.4	64.3	528	389	678
-475	50.7	38	65.1	513	411	642
-465	62	47.4	79.2	603	480	760
-455	63.3	47.1	83.2	636	496	830
-445	61.6	45	78.4	598	440	764
-435	69.7	52.9	89.2	671	523	860
-425	64.9	48.6	84.3	645	497	827
-415	51.4	36.3	69.3	598	456	767
-405	27.2	16.5	38.6	399	304	498
-395	13.7	4	24.9	279	194	378
-385	8.7	-0.3	18.6	237	156	329
-375	11.3	2.2	20.4	256	174	341
-365	11.8	2.2	22.7	273	190	364
-355	5.4	-3.5	15.1	226	150	311
-345	5.1	-4	15.3	202	130	285
-335	10.9	2.7	20.3	240	168	328
-325	20.8	10.7	32.1	303	217	406
-315	31.7	21.2	44.9	394	292	508
-305	36.3	25.4	50.5	410	307	546
-295	45.9	33.4	60.7	479	370	597
-285	55.6	40.2	72	559	432	703
-275	59.8	44.7	74.4	598	461	744
-265	60.3	45.3	78.5	624	485	794
-255	54.6	38.3	73.4	541	398	722
-245	62.2	47.9	78.3	622	479	775
-235	54.8	40.2	73	588	445	746
-225	52.2	41.1	66.4	512	391	637
-215	58.4	42.7	74.4	637	515	780
-205	38.6	27.7	50.7	465	371	582
-195	34.8	24.6	45.5	401	299	508
-185	39.4	27.2	52.1	456	347	583
-175	36.8	24.9	50.7	449	335	568
-165	32.8	22.4	43.5	399	309	499
-155	33.8	22.4	44.8	407	306	520
